class,giza_srp_wc,srp_extracted_wc,srp_extracted_freq,giza_eng_wc,eng_dict_wc,giza_srp_count,giza_eng_count,giza_srp_eng_count,giza_srp_orig_diacritics,giza_srp_orig_len,giza_srp_lemm_diacritics,giza_srp_lemm_len,srp_extracted_diacritics,srp_extracted_len,giza_eng_lemm_len,eng_dict_len,giza_srp_orig_diacritics_len_ratio,giza_srp_lemm_diacritics_len_ratio,srp_extracted_diacritics_len_ratio,giza_srp_orig_giza_srp_lemm_len_ratio,giza_srp_orig_srp_extracted_len_ratio,giza_srp_orig_giza_eng_lemm_len_ratio,giza_srp_orig_eng_dict_len_ratio,giza_srp_lemm_srp_extracted_len_ratio,giza_srp_lemm_giza_eng_lemm_len_ratio,giza_srp_lemm_eng_dict_len_ratio,srp_extracted_giza_eng_lemm_len_ratio,srp_extracted_eng_dict_len_ratio
1,2,2,11,1,1,4,2,2,0,21,0,22,0,20,6,6,0.0,0.0,0.0,0.9545454545454546,1.05,3.5,3.5,1.1,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.3333333333333335
1,2,2,1,2,2,2,2,2,0,20,0,16,0,16,13,13,0.0,0.0,0.0,1.25,1.25,1.5384615384615385,1.5384615384615385,1.0,1.2307692307692308,1.2307692307692308,1.2307692307692308,1.2307692307692308
0,2,2,1,1,1,1,1,1,0,22,0,19,0,22,6,6,0.0,0.0,0.0,1.1578947368421053,1.0,3.6666666666666665,3.6666666666666665,0.8636363636363636,3.1666666666666665,3.1666666666666665,3.6666666666666665,3.6666666666666665
1,2,2,1,2,2,1,1,1,1,19,1,19,1,19,15,15,0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0,1.0,1.2666666666666666,1.2666666666666666,1.0,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666
1,2,2,2,2,2,4,5,4,0,20,0,18,0,18,22,22,0.0,0.0,0.0,1.1111111111111112,1.1111111111111112,0.9090909090909091,0.9090909090909091,1.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
1,2,2,1,2,2,2,1,1,1,13,1,12,1,12,12,12,0.07692307692307693,0.08333333333333333,0.08333333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0,1.0,1.0,1.0,1.0
0,3,3,1,1,1,1,2,1,0,28,0,23,0,23,10,10,0.0,0.0,0.0,1.2173913043478262,1.2173913043478262,2.8,2.8,1.0,2.3,2.3,2.3,2.3
1,2,2,7,1,1,2,2,2,1,18,1,14,1,14,8,8,0.05555555555555555,0.07142857142857142,0.07142857142857142,1.2857142857142858,1.2857142857142858,2.25,2.25,1.0,1.75,1.75,1.75,1.75
1,2,2,10,2,2,4,21,4,1,18,1,17,1,15,17,17,0.05555555555555555,0.058823529411764705,0.06666666666666667,1.0588235294117647,1.2,1.0588235294117647,1.0588235294117647,1.1333333333333333,1.0,1.0,0.8823529411764706,0.8823529411764706
1,2,2,1,2,2,2,2,2,0,24,0,20,0,20,21,21,0.0,0.0,0.0,1.2,1.2,1.1428571428571428,1.1428571428571428,1.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
0,2,2,1,1,1,2,1,1,2,18,2,18,2,15,11,11,0.1111111111111111,0.1111111111111111,0.13333333333333333,1.0,1.2,1.6363636363636365,1.6363636363636365,1.2,1.6363636363636365,1.6363636363636365,1.3636363636363635,1.3636363636363635
1,2,2,1,2,2,3,4,3,0,14,0,17,0,14,12,12,0.0,0.0,0.0,0.8235294117647058,1.0,1.1666666666666667,1.1666666666666667,1.2142857142857142,1.4166666666666667,1.4166666666666667,1.1666666666666667,1.1666666666666667
0,2,2,3,1,1,1,1,1,1,21,1,19,1,17,8,8,0.047619047619047616,0.05263157894736842,0.058823529411764705,1.105263157894737,1.2352941176470589,2.625,2.625,1.1176470588235294,2.375,2.375,2.125,2.125
